,stop_gain_distance,stop_loss_distance,RSI_enable,RSI_period,RSI_value,operation_time,n_bars_validation,extra_range_entry
0,4,4,1,9,30,10,5,0
1,4,10,1,9,30,10,5,0
2,4,16,1,9,30,10,5,0
3,10,4,1,9,30,10,5,0
4,10,10,1,9,30,10,5,0
5,10,16,1,9,30,10,5,0
6,16,4,1,9,30,10,5,0
7,16,10,1,9,30,10,5,0
8,16,16,1,9,30,10,5,0
9,4,4,0,9,30,10,5,0
10,4,10,0,9,30,10,5,0
11,4,16,0,9,30,10,5,0
12,10,4,0,9,30,10,5,0
13,10,10,0,9,30,10,5,0
14,10,16,0,9,30,10,5,0
15,16,4,0,9,30,10,5,0
16,16,10,0,9,30,10,5,0
17,16,16,0,9,30,10,5,0
18,4,4,1,10,30,10,5,0
19,4,10,1,10,30,10,5,0
20,4,16,1,10,30,10,5,0
21,10,4,1,10,30,10,5,0
22,10,10,1,10,30,10,5,0
23,10,16,1,10,30,10,5,0
24,16,4,1,10,30,10,5,0
25,16,10,1,10,30,10,5,0
26,16,16,1,10,30,10,5,0
27,4,4,0,10,30,10,5,0
28,4,10,0,10,30,10,5,0
29,4,16,0,10,30,10,5,0
30,10,4,0,10,30,10,5,0
31,10,10,0,10,30,10,5,0
32,10,16,0,10,30,10,5,0
33,16,4,0,10,30,10,5,0
34,16,10,0,10,30,10,5,0
35,16,16,0,10,30,10,5,0
36,4,4,1,11,30,10,5,0
37,4,10,1,11,30,10,5,0
38,4,16,1,11,30,10,5,0
39,10,4,1,11,30,10,5,0
40,10,10,1,11,30,10,5,0
41,10,16,1,11,30,10,5,0
42,16,4,1,11,30,10,5,0
43,16,10,1,11,30,10,5,0
44,16,16,1,11,30,10,5,0
45,4,4,0,11,30,10,5,0
46,4,10,0,11,30,10,5,0
47,4,16,0,11,30,10,5,0
48,10,4,0,11,30,10,5,0
49,10,10,0,11,30,10,5,0
50,10,16,0,11,30,10,5,0
51,16,4,0,11,30,10,5,0
52,16,10,0,11,30,10,5,0
53,16,16,0,11,30,10,5,0
54,4,4,1,9,50,10,5,0
55,4,10,1,9,50,10,5,0
56,4,16,1,9,50,10,5,0
57,10,4,1,9,50,10,5,0
58,10,10,1,9,50,10,5,0
59,10,16,1,9,50,10,5,0
60,16,4,1,9,50,10,5,0
61,16,10,1,9,50,10,5,0
62,16,16,1,9,50,10,5,0
63,4,4,0,9,50,10,5,0
64,4,10,0,9,50,10,5,0
65,4,16,0,9,50,10,5,0
66,10,4,0,9,50,10,5,0
67,10,10,0,9,50,10,5,0
68,10,16,0,9,50,10,5,0
69,16,4,0,9,50,10,5,0
70,16,10,0,9,50,10,5,0
71,16,16,0,9,50,10,5,0
72,4,4,1,10,50,10,5,0
73,4,10,1,10,50,10,5,0
74,4,16,1,10,50,10,5,0
75,10,4,1,10,50,10,5,0
76,10,10,1,10,50,10,5,0
77,10,16,1,10,50,10,5,0
78,16,4,1,10,50,10,5,0
79,16,10,1,10,50,10,5,0
80,16,16,1,10,50,10,5,0
81,4,4,0,10,50,10,5,0
82,4,10,0,10,50,10,5,0
83,4,16,0,10,50,10,5,0
84,10,4,0,10,50,10,5,0
85,10,10,0,10,50,10,5,0
86,10,16,0,10,50,10,5,0
87,16,4,0,10,50,10,5,0
88,16,10,0,10,50,10,5,0
89,16,16,0,10,50,10,5,0
90,4,4,1,11,50,10,5,0
91,4,10,1,11,50,10,5,0
92,4,16,1,11,50,10,5,0
93,10,4,1,11,50,10,5,0
94,10,10,1,11,50,10,5,0
95,10,16,1,11,50,10,5,0
96,16,4,1,11,50,10,5,0
97,16,10,1,11,50,10,5,0
98,16,16,1,11,50,10,5,0
99,4,4,0,11,50,10,5,0
100,4,10,0,11,50,10,5,0
101,4,16,0,11,50,10,5,0
102,10,4,0,11,50,10,5,0
103,10,10,0,11,50,10,5,0
104,10,16,0,11,50,10,5,0
105,16,4,0,11,50,10,5,0
106,16,10,0,11,50,10,5,0
107,16,16,0,11,50,10,5,0
108,4,4,1,9,70,10,5,0
109,4,10,1,9,70,10,5,0
110,4,16,1,9,70,10,5,0
111,10,4,1,9,70,10,5,0
112,10,10,1,9,70,10,5,0
113,10,16,1,9,70,10,5,0
114,16,4,1,9,70,10,5,0
115,16,10,1,9,70,10,5,0
116,16,16,1,9,70,10,5,0
117,4,4,0,9,70,10,5,0
118,4,10,0,9,70,10,5,0
119,4,16,0,9,70,10,5,0
120,10,4,0,9,70,10,5,0
121,10,10,0,9,70,10,5,0
122,10,16,0,9,70,10,5,0
123,16,4,0,9,70,10,5,0
124,16,10,0,9,70,10,5,0
125,16,16,0,9,70,10,5,0
126,4,4,1,10,70,10,5,0
127,4,10,1,10,70,10,5,0
128,4,16,1,10,70,10,5,0
129,10,4,1,10,70,10,5,0
130,10,10,1,10,70,10,5,0
131,10,16,1,10,70,10,5,0
132,16,4,1,10,70,10,5,0
133,16,10,1,10,70,10,5,0
134,16,16,1,10,70,10,5,0
135,4,4,0,10,70,10,5,0
136,4,10,0,10,70,10,5,0
137,4,16,0,10,70,10,5,0
138,10,4,0,10,70,10,5,0
139,10,10,0,10,70,10,5,0
140,10,16,0,10,70,10,5,0
141,16,4,0,10,70,10,5,0
142,16,10,0,10,70,10,5,0
143,16,16,0,10,70,10,5,0
144,4,4,1,11,70,10,5,0
145,4,10,1,11,70,10,5,0
146,4,16,1,11,70,10,5,0
147,10,4,1,11,70,10,5,0
148,10,10,1,11,70,10,5,0
149,10,16,1,11,70,10,5,0
150,16,4,1,11,70,10,5,0
151,16,10,1,11,70,10,5,0
152,16,16,1,11,70,10,5,0
153,4,4,0,11,70,10,5,0
154,4,10,0,11,70,10,5,0
155,4,16,0,11,70,10,5,0
156,10,4,0,11,70,10,5,0
157,10,10,0,11,70,10,5,0
158,10,16,0,11,70,10,5,0
159,16,4,0,11,70,10,5,0
160,16,10,0,11,70,10,5,0
161,16,16,0,11,70,10,5,0
162,4,4,1,9,30,20,5,0
163,4,10,1,9,30,20,5,0
164,4,16,1,9,30,20,5,0
165,10,4,1,9,30,20,5,0
166,10,10,1,9,30,20,5,0
167,10,16,1,9,30,20,5,0
168,16,4,1,9,30,20,5,0
169,16,10,1,9,30,20,5,0
170,16,16,1,9,30,20,5,0
171,4,4,0,9,30,20,5,0
172,4,10,0,9,30,20,5,0
173,4,16,0,9,30,20,5,0
174,10,4,0,9,30,20,5,0
175,10,10,0,9,30,20,5,0
176,10,16,0,9,30,20,5,0
177,16,4,0,9,30,20,5,0
178,16,10,0,9,30,20,5,0
179,16,16,0,9,30,20,5,0
180,4,4,1,10,30,20,5,0
181,4,10,1,10,30,20,5,0
182,4,16,1,10,30,20,5,0
183,10,4,1,10,30,20,5,0
184,10,10,1,10,30,20,5,0
185,10,16,1,10,30,20,5,0
186,16,4,1,10,30,20,5,0
187,16,10,1,10,30,20,5,0
188,16,16,1,10,30,20,5,0
189,4,4,0,10,30,20,5,0
190,4,10,0,10,30,20,5,0
191,4,16,0,10,30,20,5,0
192,10,4,0,10,30,20,5,0
193,10,10,0,10,30,20,5,0
194,10,16,0,10,30,20,5,0
195,16,4,0,10,30,20,5,0
196,16,10,0,10,30,20,5,0
197,16,16,0,10,30,20,5,0
198,4,4,1,11,30,20,5,0
199,4,10,1,11,30,20,5,0
200,4,16,1,11,30,20,5,0
201,10,4,1,11,30,20,5,0
202,10,10,1,11,30,20,5,0
203,10,16,1,11,30,20,5,0
204,16,4,1,11,30,20,5,0
205,16,10,1,11,30,20,5,0
206,16,16,1,11,30,20,5,0
207,4,4,0,11,30,20,5,0
208,4,10,0,11,30,20,5,0
209,4,16,0,11,30,20,5,0
210,10,4,0,11,30,20,5,0
211,10,10,0,11,30,20,5,0
212,10,16,0,11,30,20,5,0
213,16,4,0,11,30,20,5,0
214,16,10,0,11,30,20,5,0
215,16,16,0,11,30,20,5,0
216,4,4,1,9,50,20,5,0
217,4,10,1,9,50,20,5,0
218,4,16,1,9,50,20,5,0
219,10,4,1,9,50,20,5,0
220,10,10,1,9,50,20,5,0
221,10,16,1,9,50,20,5,0
222,16,4,1,9,50,20,5,0
223,16,10,1,9,50,20,5,0
224,16,16,1,9,50,20,5,0
225,4,4,0,9,50,20,5,0
226,4,10,0,9,50,20,5,0
227,4,16,0,9,50,20,5,0
228,10,4,0,9,50,20,5,0
229,10,10,0,9,50,20,5,0
230,10,16,0,9,50,20,5,0
231,16,4,0,9,50,20,5,0
232,16,10,0,9,50,20,5,0
233,16,16,0,9,50,20,5,0
234,4,4,1,10,50,20,5,0
235,4,10,1,10,50,20,5,0
